SIP Code,Project,Contract No,Contractor,Line of Business,Contract Period Start,Contract Period End, Total Budget ,Service Site,Service Site Description 
NA3E,Food Banks,DA16-1057,Rainier Valley Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$76903.00,"4205 Rainier Ave S, Seattle, WA 98118",Service Site
NA3G,Home Food Delivery,DA16-1057,Rainier Valley Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$33422.00,"4205 Rainier Ave S, Seattle, WA 98118",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1237,"Addus HealthCare, Inc. dba Addus Homecare",ADS Area Agency on Aging,07/01/2015,01/31/2016,$21890.00,"4215 Rainier Ave S, Seattle, WA 98118",Various sites (primary site provided)
ND4B,Senior Centers,DA16-1369,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$174690.45,"4217 SW Oregon St, Seattle, WA 98116",Service Site
C1O,SYVPI Data Tracking Youth Violence Activity,DC16-1393,George Mason University,YDAD Youth Development,01/01/2016,08/31/2016,$10000.00,"4400 University Dr, Fairfax, VA 22030",Primary site
Z1A,General Administration,DC16-1603,George Mason University,YDAD Youth Development,01/01/2016,12/31/2016,$55000.00,"4400 University Dr, Fairfax, VA 22030",Primary site
E1A,Access to Financial Services,DA16-1592,Express Advantage,ELFS Family Development,01/01/2016,12/31/2016,$80000.00,"4410 29th Ave S, Seattle, WA 98108",Primary site
B3A,Youth Development and Educational Support,DA15-1501,Horn of Africa Services,YDAD Youth Development,09/01/2015,12/31/2016,$31160.50,"4410 29th Ave S, Seattle, WA 98108",Service Site
D2A,Health Promotion and Wellness,DA16-1464,Kin On Community Health Care,ADS Area Agency on Aging,09/01/2016,08/31/2018,$101333.33,"4416 S Brandon St, Seattle, WA 98118",Service Site
D2A,Health Promotion and Wellness,DA14-1315,Kin On Community Health Care,ADS Area Agency on Aging,12/01/2014,04/30/2016,$7875.00,"4416 S Brandon St, Seattle, WA 98118",Service Site
E3A,Community Facilities,DA14-1610,InterIm Community Development Association,CSD Community Facilities,05/16/2014,12/31/2016,$1900000.00,"442 S Main St, Seattle, WA 98104",Primary site
C1F,Crime Prevention & Re-Entry Services,DA16-1597,People of Color Against AIDS Network,YDAD Youth Development,01/01/2016,12/31/2016,$265467.00,"4437 Rainier Ave S, Seattle, WA 98118",Service Site
B3A,Youth Development and Educational Support,DA16-1311,Refugee Women's Alliance,YDAD Youth Development,01/01/2016,12/31/2016,$64331.00,"4443 Martin Luther King Jr Way S, Seattle, WA 98108",Service Site
B3A,Youth Development and Educational Support,DA15-1510,Refugee Women's Alliance,YDAD Youth Development,09/01/2015,12/31/2016,$62321.00,"4443 Martin Luther King Jr Way S, Seattle, WA 98108",Service Site
C1M,Network Coordination Services,DA16-1105,Boys & Girls Clubs of King County,YDAD Youth Development,01/01/2016,12/31/2016,$344511.00,"4520 Martin Luther King Jr Way S, Seattle, WA 98108",Service Site
C1E,Community Crime Prevention,DA16-1606,Boys & Girls Clubs of King County,YDAD Youth Development,01/01/2016,12/31/2016,$153156.00,"4520 Martin Luther King Jr Way S, Seattle, WA 98108",Service Site
B1C,Teen Parent Support,DA16-1075,Southwest Youth and Family Services,ELFS Family Development,01/01/2016,12/31/2016,$67828.00,"4555 Delridge Way SW, Seattle, WA 98106",Service Site
B3B,Youth Employment and Training,DA16-1086,Southwest Youth and Family Services,YDAD Youth Development,06/01/2016,08/31/2016,$31680.00,"4555 Delridge Way SW, Seattle, WA 98106",Various sites (primary site provided)
C1M,Network Coordination Services,DA16-1167,Southwest Youth and Family Services,YDAD Youth Development,01/01/2016,12/31/2016,$344511.00,"4555 Delridge Way SW, Seattle, WA 98106",Service Site
C1B,Aggression Replacement Training,DA16-1760,Southwest Youth and Family Services,YDAD Youth Development,01/01/2016,12/31/2016,$64434.00,"4555 Delridge Way SW, Seattle, WA 98106",Service Site
C1A,Youth Outreach and Case Management,DA16-1410,Southwest Youth and Family Services,YDAD Youth Development,01/01/2016,12/31/2016,$171718.00,"4555 Delridge Way SW, Seattle, WA 98106",Various sites (primary site provided)
ND4B,Senior Centers,DA16-1104,Wallingford Community Senior Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$138450.00,"4649 Sunnyside Ave N, Seattle, WA 98103",Service Site
A3D,Child Care Nutrition,DA16-1291,Seattle Tilth Association,ELFS Child Development,01/01/2016,12/31/2016,$23339.00,"4649 Sunnyside Ave N, Suite 100, Seattle, WA 98103",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1419,Seattle Tilth Association,ADS Self-Sufficiency,01/01/2016,12/31/2016,$113401.46,"4649 Sunnyside Ave N, Suite 100, Seattle, WA 98103",Service Site
ND4B,Senior Centers,DA16-1369,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$174690.45,"4655 S Holly St, Seattle, WA 98118",Service Site
D5F,Family Caregiver Programs,DA15-1342,Full Life Care,ADS Area Agency on Aging,07/01/2015,06/30/2016,$92504.00,"4712 35th Ave S, Seattle, WA 98118",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1342,Full Life Care,ADS Area Agency on Aging,07/01/2016,06/30/2017,$81504.00,"4712 35th Ave S, Seattle, WA 98118",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1328,"Res-Care Washington, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$344664.22,"4714 Rainier Ave S #102, Seattle, WA 98118",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1328,"Res-Care Washington, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$215469.86,"4714 Rainier Ave S #102, Seattle, WA 98118",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1328,"Res-Care Washington, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$238039.22,"4714 Rainier Ave S #102, Seattle, WA 98118",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1328,"Res-Care Washington, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$392320.98,"4714 Rainier Ave S #102, Seattle, WA 98118",Various sites (primary site provided)
B1B,Immigrant and Refugee Youth and Family Support,DA15-1299,Horn of Africa Services,YDAD Youth Development,09/01/2015,08/31/2016,$100053.00,"4714 Rainier Ave S, Suite 105, Seattle, WA 98118",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1299,Horn of Africa Services,YDAD Youth Development,09/01/2016,08/31/2017,$50026.50,"4714 Rainier Ave S, Suite 105, Seattle, WA 98118",Service Site
A2G,Homeless Youth Services,DA16-7143,Teen Feed,YDAD Youth Development,01/01/2016,12/31/2016,$84348.00,"4740 University Way NE, Seattle, WA 98105",Various sites (primary site provided)
ND4B,Senior Centers,DA16-1369,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$174690.45,"500 30th Ave S, Seattle, WA 98144",Service Site
NA3A,Meal Programs,DA16-1593,Community Lunch on Capitol Hill,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$8561.00,"500 Broadway E, Seattle, WA 98102",Service Site
E3A,Community Facilities,DL15-1509,United Indians Of All Tribes Foundation,CSD Community Facilities,09/01/2015,09/30/2016,$186742.00,"5011 Bernie Whitebear Way, Seattle, WA 98199",Primary site
NA3E,Food Banks,DA16-1059,University District Service League,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$57074.00,"5017 Roosevelt Way NE, Seattle, WA 98105",Service Site
E3A,Community Facilities,DA16-1244,University District Service League,CSD Community Facilities,07/01/2016,12/31/2016,$250000.00,"5017 Roosevelt Way NE, Seattle, WA 98105",Primary site
Z1A,General Administration,DC13-1401,Bichsel Public Affairs,LAD Leadership & Administration,05/20/2013,12/31/2016,$58875.00,"502 West Crockett St, Seattle, WA 98119",Primary site
D5A,Home Care and In Home Services,DA16-1757,"American Healthcare Services, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$48576.02,"504 Broadway, Seattle, WA 98122",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1757,"American Healthcare Services, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$44720.00,"504 Broadway, Seattle, WA 98122",Various sites (primary site provided)
D2A,Health Promotion and Wellness,DA16-1283,International District Emergency Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$27605.00,"506 Maynard Ave S, Seattle, WA 98104",Primary site
A2A,Emergency Shelters,DA16-1375,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$190884.00,"510 Minor Ave N, Seattle, WA 98109",Service Site
A2C,Permanent Supportive Housing,DA16-5408,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$436431.00,"510 Minor Ave N, Seattle, WA 98109",Service Site
NA3E,Food Banks,DA16-1039,Ballard Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$37489.00,"5130 Leary Ave NW, Seattle, WA 98107",Service Site
A2C,Permanent Supportive Housing,DA16-1156,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,12/01/2016,11/30/2017,$1257046.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1189,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,11/01/2016,10/31/2017,$672975.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1230,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,09/01/2016,08/31/2017,$588366.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
NA2A,Homeless Services for Individuals and Families,DA16-1334,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$4254905.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2J,Homeless Outreach and Case Management,DA16-1444,Downtown Seattle Association,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$573095.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1451,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$334248.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1490,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,10/01/2016,09/30/2017,$364182.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2J,Homeless Outreach and Case Management,DA16-1531,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$200000.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1580,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,10/01/2016,09/30/2017,$229497.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2A,Emergency Shelters,DA15-1060,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,09/01/2015,06/30/2016,$704010.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1156,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,11/01/2015,11/30/2016,$1185078.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1189,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,11/01/2015,10/31/2016,$605082.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1230,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,09/01/2015,08/31/2016,$545664.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1118,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$500911.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1490,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,10/01/2015,09/30/2016,$347231.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2A,Emergency Shelters,DA15-1525,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,04/16/2015,12/31/2016,$241678.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1580,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,10/01/2015,09/30/2016,$199023.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2A,Emergency Shelters,DA15-1601,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,11/01/2015,06/30/2016,$185700.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A2E,Day Centers,DA16-1004,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$581862.35,"515 3rd Ave, Seattle, WA 98104",Service Site
A2A,Emergency Shelters,DA16-1399,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$900944.05,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
NA2A,Homeless Services for Individuals and Families,DA16-1646,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$2374151.00,"515 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
B1C,Teen Parent Support,DA16-1081,Atlantic Street Center,ELFS Family Development,01/01/2016,12/31/2016,$41756.00,"5150 S Cloverdale Place, Seattle, WA 98118",Service Site
B1A,Family Resource Center,DA16-3823,Atlantic Street Center,ELFS Family Development,01/01/2016,12/31/2016,$442815.00,"5150 S Cloverdale Place, Seattle, WA 98118",Service Site
C2A,DV & SA Response System Improvement,DM14-5201,King County Prosecuting Attorney,DVO Domestic and Sexual Violence Prevention,01/01/2014,12/31/2016,$187935.00,"516 3rd Ave S, Seattle, WA 98104",Primary site
C2A,DV & SA Response System Improvement,DM16-5259,King County Prosecuting Attorney,MODVSAP,12/01/2016,06/30/2017,$124975.00,"516 3rd Ave S, Seattle, WA 98104",Primary site
E2A,Access to Services,DA15-5431,King County,CSD Emergency and Transitional Svcs,02/01/2015,01/31/2016,$680144.00,"516 3rd Ave, Seattle, WA  98104",Various sites (primary site provided)
E2C,Human Services Information & Referral,DA16-1181,Gay City Health Project,YDAD Youth Development,01/01/2016,12/31/2016,$18162.00,"517 East Pike St, Seattle, WA 98122",Service Site
D2A,Health Promotion and Wellness,DA14-1398,African Americans Reach and Teach Health Ministry,ADS Area Agency on Aging,12/01/2014,01/31/2016,$3750.00,"5237 Rainier Ave S, Seattle, WA 98118",Service Site
D2A,Health Promotion and Wellness,DA15-1560,African Americans Reach and Teach Health Ministry,ADS Area Agency on Aging,07/01/2015,08/31/2016,$63000.00,"5237 Rainier Ave S, Seattle, WA 98118",Service Site
D2A,Health Promotion and Wellness,DA16-1373,African Americans Reach and Teach Health Ministry,ADS Area Agency on Aging,09/01/2016,08/31/2018,$101333.33,"5237 Rainier Ave S, Seattle, WA 98118",Service Site
ND4B,Senior Centers,DA16-1113,Phinney Neighborhood Association,ADS Area Agency on Aging,01/01/2016,12/31/2016,$136631.00,"525 N 85th St, Seattle, WA 98103",Service Site
NA3A,Meal Programs,DA16-5594,Phinney Neighborhood Association,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$40751.00,"525 N 85th St, Seattle, WA 98103",Service Site
A2C,Permanent Supportive Housing,DA16-1712,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$494740.00,"5270 Rainier Ave S, Seattle, WA 98118",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1520,Tenants Union of Washington State,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$195817.00,"5425 Rainier Ave S, Seattle, WA 98118",Various sites (primary site provided)
ND4B,Senior Centers,DA16-1369,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$174690.45,"5429 32nd Ave NW, Seattle, WA 98107",Service Site
A2C,Permanent Supportive Housing,DA16-1481,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,12/01/2016,11/30/2017,$719645.00,"5444 Delridge Way SW, Seattle, WA 98106",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1481,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,12/01/2015,11/30/2016,$628546.00,"5444 Delridge Way SW, Seattle, WA 98106",Various sites (primary site provided)
C2A,DV & SA Response System Improvement,DA16-1565,Filipino Community of Seattle,MODVSAP,11/01/2016,12/31/2017,$77880.00,"5740 Martin Luther King Jr Way S, Seattle, WA 98118",Primary site
NA3E,Food Banks,DA16-1024,Society of St. Vincent de Paul Council Seattle/King County,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$77852.00,"5972 4th Ave S, Seattle, WA 98108",Service Site
C1E,Community Crime Prevention,DM16-5256,City of Seattle Department of Neighborhoods,YDAD Youth Development,06/01/2016,05/31/2017,$75000.00,"600 4th Ave, Seattle, WA 98104",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-1708,King County Housing Authority,ADS Area Agency on Aging,01/01/2016,12/31/2016,$12958.00,"600 Andover Park W, Tukwila, WA 98188",Various sites (primary site provided)
B3A,Youth Development and Educational Support,DA16-1309,InterIm Community Development Association,YDAD Youth Development,01/01/2016,12/31/2016,$66280.00,"601 S King St,  Suite 304, Seattle, WA 98104",Service Site
A2A,Emergency Shelters,DA16-1285,Compass Housing Alliance,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$72496.00,"606 S Weller St, Seattle, WA 98104",Confidential Site (primary site provided if available)
A1A,Housing Stability Services,DA15-1148,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,07/01/2015,06/30/2016,$174089.00,"607 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1148,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,07/01/2016,02/28/2017,$138730.00,"607 3rd Ave, Seattle, WA 98104",Various sites (primary site provided)
C3B,Domestic Violence Victims Services,DA16-3771,Seattle Indian Health Board,MODVSAP,01/01/2016,12/31/2016,$56390.00,"611 12th Ave S, Seattle, WA 98144",Service Site
NA3E,Food Banks,DA16-1054,Food Bank @ St. Mary's,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$52833.50,"611 20th Ave S, Seattle, WA 98144",Service Site
NA3G,Home Food Delivery,DA16-1054,Food Bank @ St. Mary's,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$72325.50,"611 20th Ave S, Seattle, WA 98144",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1548,Chinese Information and Service Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$364899.97,"611 S Lane St, Seattle, WA 98104",Various sites (primary site provided)
B2F,After-School and Summer Programs for Elementary School Students,DA16-1768,Chinese Information and Service Center,ELFS Child Development,09/01/2016,06/30/2017,$49119.00,"611 S Lane St, Seattle, WA 98104",Service Site
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-5160,Chinese Information and Service Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$1948623.60,"611 S Lane St, Seattle, WA 98104",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1548,Chinese Information and Service Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$338407.80,"611 S Lane St, Seattle, WA 98104",Various sites (primary site provided)
B2F,After-School and Summer Programs for Elementary School Students,DA15-1768,Chinese Information and Service Center,ELFS Child Development,09/01/2015,06/30/2016,$49119.00,"611 S Lane St, Seattle, WA 98104",Service Site
D5B,Case Management for Seniors and Adults w/ Disabilities,DA15-5160,Chinese Information and Service Center,ADS Area Agency on Aging,10/01/2015,06/30/2016,$960626.22,"611 S Lane St, Seattle, WA 98104",Various sites (primary site provided)
B1A,Family Resource Center,DA16-1026,Chinese Information and Service Center,ELFS Family Development,01/01/2016,12/31/2016,$205467.00,"611 S Lane St, Seattle, WA 98104",Service Site
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-1701,Chinese Information and Service Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$48340.00,"611 S Lane St, Seattle, WA 98104",Various sites (primary site provided)
ND4B,Senior Centers,DA16-3422,Chinese Information and Service Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$98327.00,"611 S Lane St, Seattle, WA 98104",Service Site
C1E,Community Crime Prevention,DA16-1630,Center for Children & Youth Justice,YDAD Youth Development,03/01/2016,12/31/2016,$241161.00,"615 2nd Ave S #275, Seattle, WA 98104",Service Site
C3B,Domestic Violence Victims Services,DA16-1741,Northwest Immigrant Rights Project,MODVSAP,01/01/2016,12/31/2016,$253205.00,"615 2nd Ave S #400, Seattle, WA 98104",Service Site
A2B,Transitional Housing,DA16-1115,Low Income Housing Institute,CSD Emergency and Transitional Svcs,05/01/2016,04/30/2017,$102500.00,"6188 4th Ave S, Seattle, WA 98108",Service Site
A2B,Transitional Housing,DA15-1115,Low Income Housing Institute,CSD Emergency and Transitional Svcs,05/01/2015,04/30/2016,$102500.00,"6188 4th Ave S, Seattle, WA 98108",Service Site
A2C,Permanent Supportive Housing,DA16-1384,Plymouth Housing Group,YDAD Youth Development,01/01/2016,12/31/2016,$106294.00,"619 3rd Ave, Seattle, WA 98104",Service Site
NA3E,Food Banks,DA16-1719,Beacon Avenue Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,09/02/2016,$27997.44,"6230 Beacon Ave S, Seattle, WA 98108",Service Site
C1A,Youth Outreach and Case Management,DA16-1409,Safe Futures Youth Center,YDAD Youth Development,01/01/2016,12/31/2016,$128113.00,"6337 35th Ave SW, Seattle, WA 98126",Service Site
B1A,Family Resource Center,DA16-1559,"Neighborhood House, Inc.",ELFS Family Development,01/01/2016,12/31/2016,$199757.00,"6400 Sylvan Way SW, Seattle, WA 98126",Service Site
B3A,Youth Development and Educational Support,DA15-1516,Catholic Community Services of Western Washington,YDAD Youth Development,09/01/2015,12/31/2016,$53751.50,"6400 Sylvan Way SW, Seattle, WA 98126",Service Site
D5F,Family Caregiver Programs,DA15-1342,Full Life Care,ADS Area Agency on Aging,07/01/2015,06/30/2016,$92504.00,"6555 Ravenna Ave NE, Seattle, WA 98115",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1342,Full Life Care,ADS Area Agency on Aging,07/01/2016,06/30/2017,$81504.00,"6555 Ravenna Ave NE, Seattle, WA 98115",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1150,Muslim Housing Service,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$152976.00,"6727 Rainier Ave S, Seattle, WA 98118",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1238,Muslim Housing Service,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$77321.00,"6727 Rainier Ave S, Seattle, WA 98118",Primary site
A2B,Transitional Housing,DA16-1354,Muslim Housing Service,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$103803.00,"6727 Rainier Ave S, Seattle, WA 98118",Primary site
A2C,Permanent Supportive Housing,DA15-1513,Solid Ground Washington,CSD Emergency and Transitional Svcs,12/01/2015,11/30/2016,$113346.00,"6940 62nd Ave NE, Seattle, WA 98115",Service Site
NA3A,Meal Programs,DA16-1119,"Operation Sack Lunch, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$90720.00,"6th Ave and Columbia St, Seattle, WA 98104",Service Site
NA3F,Food Distribution,DA16-1119,"Operation Sack Lunch, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$75600.00,"6th Ave and Columbia St, Seattle, WA 98104",Various sites (primary site provided)
A2G,Homeless Youth Services,DM16-5254,Department of Education and Early Learning,YDAD Youth Development,03/01/2016,12/31/2017,$367000.00,"700 5th Ave #1700, Seattle, WA 98104",Primary site
C1J,SYVPI Youth Work Readiness Arts Program Services,DM16-5214,Office of Arts & Culture,YDAD Youth Development,01/01/2016,12/31/2016,$115368.00,"700 5th Ave, Suite 1766, Seattle, WA  98104",Various sites (primary site provided)
E3C,Administrative Operations,DU16-5250,Office of City Auditor,YDAD Youth Development,01/01/2016,09/30/2017,$1.00,"700 5th Ave, Suite 2410, Seattle, WA 98104",Primary site
Z1A,General Administration,DC16-1010,Chakoian McClure Group MC2 Consulting,LAD Leadership & Administration,04/01/2016,12/31/2017,$270000.00,"7024 2nd Ave NW, Seattle, WA 98117",Primary site
D5A,Home Care and In Home Services,DA15-5154,"Chesterfield Services, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$184129.78,"703 Columbia St, Seattle, WA 98104",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-5154,"Chesterfield Services, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$203680.22,"703 Columbia St, Seattle, WA 98104",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-5154,"Chesterfield Services, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$211855.13,"703 Columbia St, Seattle, WA 98104",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-5154,"Chesterfield Services, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$192746.98,"703 Columbia St, Seattle, WA 98104",Various sites (primary site provided)
B3A,Youth Development and Educational Support,DA16-1307,Atlantic Street Center,YDAD Youth Development,01/01/2016,12/31/2016,$64331.00,"7054 32nd Ave S, Seattle, WA 98118",Service Site
B3A,Youth Development and Educational Support,DA15-1501,Horn of Africa Services,YDAD Youth Development,09/01/2015,12/31/2016,$31160.50,"7054 32nd Ave S, Seattle, WA 98118",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1299,Horn of Africa Services,YDAD Youth Development,09/01/2016,08/31/2017,$50026.50,"7054 32nd Ave S, Seattle, WA 98118",Service Site
A2C,Permanent Supportive Housing,DA16-1540,United Way of King County,CSD Emergency and Transitional Svcs,07/01/2016,06/30/2017,$410000.00,"720 2nd Ave, Seattle, WA 98104",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA15-5159,Asian Counseling & Referral Service,ADS Area Agency on Aging,10/01/2015,06/30/2016,$3004796.39,"720 8th Ave S, Seattle, WA 98104",Various sites (primary site provided)
NA3E,Food Banks,DA16-2231,Centerstone of Seattle,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$37489.00,"722 18th Ave, Seattle, WA 98122",Service Site
ND4B,Senior Centers,DA16-1022,International Drop-In Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$167189.00,"7301 Beacon Ave S, Seattle, WA 98108",Service Site
D2B,Mental Health,DA16-1636,International Drop-In Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$101000.00,"7301 Beacon Ave S, Seattle, WA 98108",Service Site
D5F,Family Caregiver Programs,DA15-4037,Polack Adult Day Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$500.00,"7500 Seward Park Ave S, Seattle, WA 98118",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-4037,Polack Adult Day Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$3641.31,"7500 Seward Park Ave S, Seattle, WA 98118",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DC15-1602,Financial Consulting Solutions Group,ADS Area Agency on Aging,12/15/2015,06/30/2016,$12270.00,"7525 166th Ave NE D-215, Redmond, WA 98052",Primary site
A2A,Emergency Shelters,DA16-1632,Low Income Housing Institute,CSD Emergency and Transitional Svcs,03/01/2016,12/31/2016,$208000.00,"7544 Martin Luther King Jr Way S, Seattle, WA 98118",Service Site
